BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,SUBLOCALITY.1,LOCALITY.1,STREET_NAME.1
Brokered by Sowae Corp,House for sale,399000,3,2.3738608579684373,1601.0,104-06 212 St,"Queens, NY 11429","104-06 212 StQueens, NY 11429",United States,New York,Queens County,Queens,212th Street,"104-06 212th St, Jamaica, NY 11417, USA",40.7115495,-73.7464296,,,
Brokered by Tscherne Realty Inc,Condo for sale,578000,2,2.0,900.0,57-15 69th Ln Unit 1,"Maspeth, NY 11378","57-15 69th Ln Unit 1Maspeth, NY 11378",New York,Queens County,Queens,Flushing,5715,"5715 69th Ln APT 1, Flushing, NY 11378, USA",40.7265287,-73.8933039,,,
Brokered by Elegran Real Estate And Development,Co-op for sale,1495000,4,4.0,2600.0,315 E 65th St Apt 11C,"New York, NY 10065","315 E 65th St Apt 11CNew York, NY 10065",New York,New York County,New York,Manhattan,315,"315 E 65th St #11c, New York, NY 10065, USA",40.764197,-73.960624,,,
Brokered by Highline Residential - Highline Residential,Condo for sale,3200000,3,3.0,1820.0,675 Sackett St Apt 105,"Brooklyn, NY 11217","675 Sackett St Apt 105Brooklyn, NY 11217",New York,Kings County,Brooklyn,Park Slope,675,"675 Sackett St APT 105, Brooklyn, NY 11217, USA",40.6779373,-73.981685,,,
Brokered by COMPASS,Condo for sale,1395000,2,2.0,1182.0,737 Bergen St Apt 1B,"Brooklyn, NY 11238","737 Bergen St Apt 1BBrooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,737,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728,,,Westchester Square
Brokered by Brown Harris Stevens,Co-op for sale,599000,1,1.0,800.0,568 Grand St Apt J102,"Manhattan, NY 10002","568 Grand St Apt J102Manhattan, NY 10002",New York,New York County,New York,Manhattan,568,"568 Grand St j102, New York, NY 10002, USA",40.7142822,-73.9792183,,,
Brokered by COMPASS,Co-op for sale,2375000,1,2.0,2184.207862,10 Bleecker St Apt 5D,"Manhattan, NY 10012","10 Bleecker St Apt 5DManhattan, NY 10012",New York,New York County,New York,Manhattan,10,"10 Bleecker St #5b, New York, NY 10012, USA",40.7252187,-73.9929764,,,
Brokered by Corcoran Brooklyn Heights,Pending,529900,1,1.0,630.0,175 Adams St Apt 10E,"Brooklyn, NY 11201","175 Adams St Apt 10EBrooklyn, NY 11201",New York,Kings County,Brooklyn,Downtown Brooklyn,175,"175 Adams St #10e, Brooklyn, NY 11201, USA",40.6985714,-73.9881911,,,
Brokered by Corcoran East Side,Condo for sale,7600000,4,4.0,3216.0,100 Barclay St Apt 20C,"New York, NY 10007","100 Barclay St Apt 20CNew York, NY 10007",New York,New York County,New York,Manhattan,100,"100 Barclay St #20c, New York, NY 10007, USA",40.7139639,-74.0127212,,,
Brokered by Douglas Elliman - Bayside,Pending,995000,4,2.0,2184.207862,45-53 169 St,"Flushing, NY 11358","45-53 169 StFlushing, NY 11358",United States,New York,Queens County,Queens,169th Street,"45-53 169th St, Flushing, NY 11358, USA",40.7543498,-73.797977,,,
Brokered by Modern Spaces Love Your Place,Multi-family home for sale,1400000,3,3.0,2184.207862,25-01 23rd Ave,"Long Island City, NY 11105","25-01 23rd AveLong Island City, NY 11105",United States,New York,Queens County,Queens,23rd Avenue,"25-01 23rd Ave, Astoria, NY 11105, USA",40.7770879,-73.9162687,,,
Brokered by E House Realty & Mgt. Inc.,Condo for sale,713000,2,2.0,1040.0,217 Bay 49th St Unit 3A,"Brooklyn, NY 11214","217 Bay 49th St Unit 3ABrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,217,"217 Bay 49th St #3a, Brooklyn, NY 11214, USA",40.5855131,-73.9883977,,,
Brokered by Landmark Realty,House for sale,725000,3,2.0,1476.0,480 Lynn St,"Staten Island, NY 10306","480 Lynn StStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Lynn Street,"480 Lynn St, Staten Island, NY 10306, USA",40.5582278,-74.1173549,,,
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,3395000,4,3.0,3111.0,129 W 70th St Unit 1,"New York, NY 10023","129 W 70th St Unit 1New York, NY 10023",New York,New York County,New York,Manhattan,129,"129 W 70th St Apt 1a, New York, NY 10023, USA",40.7763812,-73.9800135,,,
Brokered by RE MAX Edge,Co-op for sale,499000,2,1.0,686.0,430 W 46th St Apt 5E,"Manhattan, NY 10036","430 W 46th St Apt 5EManhattan, NY 10036",New York,New York County,New York,Manhattan,430,"430 W 46th St #5a, New York, NY 10036, USA",40.7615546,-73.9923686,,,
Brokered by Keystone Realty USA Corp,House for sale,599000,4,2.0,2184.207862,106-09 169th St,"Jamaica, NY 11433","106-09 169th StJamaica, NY 11433",United States,New York,Queens County,Queens,169th Street,"106-09 169th St, Jamaica, NY 11433, USA",40.7003331,-73.7875164,,,
Brokered by New York Residential R E,Co-op for sale,385000,2,1.0,800.0,160-34 Cross Island Pkwy Unit 6-202,"Whitestone, NY 11357","160-34 Cross Island Pkwy Unit 6-202Whitestone, NY 11357",New York,Queens County,Queens,Whitestone,16034,"16034 Cross Island Pkwy 6 202, Whitestone, NY 11357, USA",40.7865407,-73.8018825,,,
Brokered by Julia B. Fee Sotheby's International Realty,Co-op for sale,165000,1,1.0,750.0,5615 Netherland Ave Apt 4E,"Bronx, NY 10471","5615 Netherland Ave Apt 4EBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5615,"5615 Netherland Ave #4e, Bronx, NY 10471, USA",40.904655,-73.9066105,,,
Brokered by COMPASS,Co-op for sale,2000000,3,2.0,1800.0,106 E 85th St Apt 5S,"Manhattan, NY 10028","106 E 85th St Apt 5SManhattan, NY 10028",New York,New York County,New York,Manhattan,106,"106 E 85th St #5c, New York, NY 10028, USA",40.779073,-73.957175,,,
Brokered by Gateway Arms Realty Corp.,Condo for sale,560000,2,2.0,1008.0,155 Bay St Apt 4F,"Staten Island, NY 10301","155 Bay St Apt 4FStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,155,"155 Bay St #4f, Staten Island, NY 10301, USA",40.638148,-74.0756332,,,
"Brokered by Robert DeFalco Realty, Inc.",Contingent,649999,5,3.0,2052.0,80 Brewster St,"Staten Island, NY 10304","80 Brewster StStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Brewster Street,"80 Brewster St, Staten Island, NY 10304, USA",40.6317585,-74.0785358,,,
Brokered by Coldwell Banker Reliable Real Estate,House for sale,775000,3,2.0,2184.207862,46 Aviston St,"Staten Island, NY 10306","46 Aviston StStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Aviston Street,"46 Aviston St, Staten Island, NY 10306, USA",40.5572427,-74.1202564,,,
Brokered by Brown Harris Stevens,Co-op for sale,500000,4,1.0,2184.207862,133 W 140th St Apt 21,"Manhattan, NY 10030","133 W 140th St Apt 21Manhattan, NY 10030",New York,New York County,New York,Manhattan,133,"133 W 140th St #21, New York, NY 10030, USA",40.8178093,-73.9391738,,,
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,425000,1,1.0,2184.207862,333 E 66th St Apt 9R,"New York, NY 10065","333 E 66th St Apt 9RNew York, NY 10065",New York,New York County,New York,Manhattan,333,"333 E 66th St #9b, New York, NY 10065, USA",40.7643711,-73.9593578,,,
"Brokered by Nest Seekers International, Midtown",Condo for sale,499000,1,1.0,845.0,2068 Ocean Ave Apt 2B,"Brooklyn, NY 11230","2068 Ocean Ave Apt 2BBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,2068,"2068 Ocean Ave #2b, Brooklyn, NY 11230, USA",40.611469,-73.954103,,,
Brokered by E Realty International Corp,Co-op for sale,399000,2,1.0,1090.0,88-11 Elmhurst Ave Unit A4,"Elmhurst, NY 11373","88-11 Elmhurst Ave Unit A4Elmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,8811,"8811 Elmhurst Ave Apt A4, Elmhurst, NY 11373, USA",40.7455899,-73.8778899,,,
Brokered by RE MAX Elite,House for sale,585000,3,2.0,1008.0,94 Walker St,"Staten Island, NY 10302","94 Walker StStaten Island, NY 10302",United States,New York,Richmond County,Staten Island,Walker Street,"94 Walker St, Staten Island, NY 10302, USA",40.6302304,-74.142966,,,
Brokered by COMPASS,Townhouse for sale,1399000,4,2.0,1700.0,1746 Bergen St,"Brooklyn, NY 11233","1746 Bergen StBrooklyn, NY 11233",United States,New York,Kings County,Brooklyn,Bergen Street,"1746 Bergen St, Brooklyn, NY 11233, USA",40.6745279,-73.9243055,,,
"Brokered by Nest Seekers International, Midtown",Condo for sale,585000,3,2.3738608579684373,2184.207862,45-30 Pearson St,"Queens, NY 11101","45-30 Pearson StQueens, NY 11101",United States,New York,Queens County,Queens,Pearson Street,"45-30 Pearson St, Long Island City, NY 11101, USA",40.7453084,-73.9445819,,,
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,6400000,3,4.0,2184.207862,14 E 75th St # 4A,"New York, NY 10021","14 E 75th St # 4ANew York, NY 10021",New York,New York County,New York,Manhattan,14,"14 E 75th St #4a, New York, NY 10021, USA",40.7737635,-73.9644574,,,
Brokered by Exit All Seasons Realty,House for sale,611999,3,2.0,2184.207862,115-33 227th St,"Cambria Heights, NY 11411","115-33 227th StCambria Heights, NY 11411",United States,New York,Queens County,Queens,227th Street,"115-33 227th St, Cambria Heights, NY 11411, USA",40.6973209,-73.7315945,,,
Brokered by BERKSHIRE HATHAWAY,Land for sale,675000,3,2.3738608579684373,2184.207862,2932 Brighton 5th St,"Brooklyn, NY 11235","2932 Brighton 5th StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Brighton 5th Street,"2932 Brighton 5th St, Brooklyn, NY 11235, USA",40.580329,-73.963661,,,
"Brokered by Tom Marco Real Estate, Inc.",Foreclosure,579900,3,2.3738608579684373,2640.0,241 Westervelt Ave,"Staten Island, NY 10301","241 Westervelt AveStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Westervelt Avenue,"241 Westervelt Ave, Staten Island, NY 10301, USA",40.6422293,-74.0830445,,,
Brokered by COMPASS,Co-op for sale,375000,2,1.0,2184.207862,5900 Arlington Ave Apt 10H,"Bronx, NY 10471","5900 Arlington Ave Apt 10HBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5900,"5900 Arlington Ave #10h, Bronx, NY 10471, USA",40.909252,-73.905421,,,
Brokered by Mitra Hakimi Realty Group LLC,House for sale,978000,3,2.0,2184.207862,48-49 196th St,"Fresh Meadows, NY 11365","48-49 196th StFresh Meadows, NY 11365",United States,New York,Queens County,Queens,196th Street,"73-48 196th St, Flushing, NY 11366, USA",40.7337126,-73.7765367,,,
Brokered by KELLER WILLIAMS REALTY EMPIRE,Co-op for sale,545000,1,1.0,1050.0,9411 Shore Rd Apt 4K,"Brooklyn, NY 11209","9411 Shore Rd Apt 4KBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9411,"9411 Shore Rd #4k, Brooklyn, NY 11209, USA",40.617623,-74.038637,,,
Brokered by Keller Williams Realty Liberty,Co-op for sale,425000,2,1.0,2184.207862,86 Beaver St Apt 2J,"Brooklyn, NY 11206","86 Beaver St Apt 2JBrooklyn, NY 11206",New York,Kings County,Brooklyn,Bushwick,86,"86 Beaver St #2j, Brooklyn, NY 11206, USA",40.699914,-73.936622,,,
Brokered by JABOUR REALTY COMPANY,Pending,1099000,3,2.0,1472.0,32 Oliver St,"Brooklyn, NY 11209","32 Oliver StBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,Oliver Street,"32 Oliver St, Brooklyn, NY 11209, USA",40.6193503,-74.0388023,,,
Brokered by Signature Premier Properties,Condo for sale,1025000,1,1.0,800.0,460 E 79th St Apt 9F,"New York, NY 10075","460 E 79th St Apt 9FNew York, NY 10075",New York,New York County,New York,Manhattan,460,"460 E 79th St #9f, New York, NY 10075, USA",40.7712538,-73.950858,,,
Brokered by COMPASS,Townhouse for sale,14000000,5,2.3738608579684373,7200.0,38 Monroe Pl,"Brooklyn, NY 11201","38 Monroe PlBrooklyn, NY 11201",United States,New York,Kings County,Brooklyn,Monroe Place,"38 Monroe Pl, Brooklyn, NY 11201, USA",40.6958593,-73.9925234,,,
NoBroker,Condo for sale,771770,2,2.0,710.0,134-16 35th Ave Unit 11D,"Flushing, NY 11354","134-16 35th Ave Unit 11DFlushing, NY 11354",New York,Queens County,Queens,Flushing,134-16,"134-16 35th Ave #11d, Flushing, NY 11354, USA",40.7639577,-73.8325965,,,
Brokered by Top Choice Realty LLC,House for sale,314000,2,1.0,847.0,18 Richmond Ct,"Staten Island, NY 10303","18 Richmond CtStaten Island, NY 10303",United States,New York,Richmond County,Staten Island,Richmond Court,"18 Richmond Ct, Staten Island, NY 10303, USA",40.6396832,-74.1652748,,,
Brokered by Homefinders of SI Inc.,Condo for sale,615000,2,4.0,1568.0,253 Windham Loop,"Staten Island, NY 10314","253 Windham LoopStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Windham Loop,"253 Windham Loop, Staten Island, NY 10314, USA",40.577069,-74.161888,,,
Brokered by Corcoran Bedford Stuyvesant,Townhouse for sale,4395000,5,4.0,2184.207862,425 Pacific St,"Brooklyn, NY 11217","425 Pacific StBrooklyn, NY 11217",United States,New York,Kings County,Brooklyn,Pacific Street,"425 Pacific St, Brooklyn, NY 11217, USA",40.6859683,-73.9839494,,,
Brokered by New York Realty Minimax,Multi-family home for sale,869888,4,3.0,2184.207862,86-27 125th St,"Richmond Hill, NY 11418","86-27 125th StRichmond Hill, NY 11418",United States,New York,Queens County,Queens,125th Street,"86-27 125th St, Richmond Hill, NY 11418, USA",40.7019014,-73.8256776,,,
Brokered by Corcoran West Side,Condo for sale,10900000,5,6.0,3633.0,39 W 23rd St # N,"New York, NY 10010","39 W 23rd St # NNew York, NY 10010",United States,New York,New York County,New York,West 23rd Street,"39 W 23rd St, New York, NY 10010, USA",40.7423282,-73.9911409,,,
"Brokered by Marlin Realty, Inc.",Multi-family home for sale,2250000,10,2.3738608579684373,5200.0,1102 Ovington Ave,"Brooklyn, NY 11219","1102 Ovington AveBrooklyn, NY 11219",United States,New York,Kings County,Brooklyn,Ovington Avenue,"1102 Ovington Ave, Brooklyn, NY 11219, USA",40.6266296,-74.0077129,,,
"Brokered by Robert Defalco Realty, Inc.",House for sale,1199999,5,3.0,1728.0,1206 Tabor Ct,"Brooklyn, NY 11219","1206 Tabor CtBrooklyn, NY 11219",United States,New York,Kings County,Brooklyn,Tabor Court,"1206 Tabor Ct, Brooklyn, NY 11219, USA",40.628704,-74.00189,,,
Brokered by Realty Executives Powerhouse,Condo for sale,485000,3,2.0,2184.207862,901 E 106th St Unit 1A,"Brooklyn, NY 11236","901 E 106th St Unit 1ABrooklyn, NY 11236",New York,Kings County,Brooklyn,Canarsie,901,"901 E 106th St #1a, Brooklyn, NY 11236, USA",40.6479766,-73.8936697,,,
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,879000,2,1.0,1000.0,1175 York Ave Apt 7B,"New York, NY 10065","1175 York Ave Apt 7BNew York, NY 10065",New York,New York County,New York,Manhattan,1175,"1175 York Ave #7b, New York, NY 10065, USA",40.7615369,-73.9579786,,,
NoBroker,Co-op for sale,278000,1,1.0,2184.207862,125-10 Queens Blvd Unit 2302,"Kew Gardens, NY 11415","125-10 Queens Blvd Unit 2302Kew Gardens, NY 11415",New York,Queens County,The Bronx,Kew Gardens,125,"125 Queens Blvd # 10, Bronx, NY 10452, USA",40.7119297,-73.826361,,,
Brokered by Momentum Real Estate Llc,House for sale,599000,3,2.0,780.0,459 Raritan Ave,"Staten Island, NY 10305","459 Raritan AveStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,Raritan Avenue,"459 Raritan Ave, Staten Island, NY 10305, USA",40.5880538,-74.0858781,,,
Brokered by The Agency,Contingent,595000,3,1.0,2184.207862,3 Sheridan Sq Apt 2K,"New York, NY 10014","3 Sheridan Sq Apt 2KNew York, NY 10014",New York,New York County,New York,Manhattan,3,"3 Sheridan Square #2k, New York, NY 10014, USA",40.7329291,-74.0027905,,,
"Brokered by Sari Kingsley, Real Estate",House for sale,899000,5,2.0,2184.0,39 Rene Dr,"Staten Island, NY 10306","39 Rene DrStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Rene Drive,"39 Rene Dr, Staten Island, NY 10306, USA",40.565557,-74.1329192,,,
Brokered by COMPASS,Co-op for sale,1300000,2,2.0,2184.207862,425 W 24th St Unit 3GF,"Manhattan, NY 10011","425 W 24th St Unit 3GFManhattan, NY 10011",New York,New York County,New York,Manhattan,425,"425 W 24th St #3f, New York, NY 10011, USA",40.747844,-74.00189,,,
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,297000,1,1.0,800.0,102-36 64 Ave Unit 4A,"Forest Hills, NY 11375","102-36 64 Ave Unit 4AForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,10236,"10236 64th Ave Apt 4d, Forest Hills, NY 11375, USA",40.7322799,-73.85181,,,
Brokered by Utopia Real Estate,Co-op for sale,69900,2,1.0,700.0,61 Edgewater Park Unit B,"Bronx, NY 10465","61 Edgewater Park Unit BBronx, NY 10465",United States,New York,Bronx County,The Bronx,Edgewater Park,"61 Edgewater Park, Bronx, NY 10465, USA",40.8224987,-73.8111568,,,Manhattan Beach
Brokered by Geo Real Estate Group Inc,Multi-family home for sale,799000,3,2.0,2184.207862,8324 Glenwood Rd,"Brooklyn, NY 11236","8324 Glenwood RdBrooklyn, NY 11236",United States,New York,Kings County,Brooklyn,Glenwood Road,"8324 Glenwood Rd, Brooklyn, NY 11236, USA",40.638624,-73.911936,,,
Brokered by Corcoran Brooklyn Heights,House for sale,6700000,3,2.3738608579684373,2184.207862,450 Front St,"Staten Island, NY 10304","450 Front StStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Front Street,"450 Front St, Staten Island, NY 10304, USA",40.626225,-74.0745645,,,
Brokered by Awaye Realty,Condo for sale,2550000,3,2.0,2400.0,145 Huntington St Unit 147-1,"Brooklyn, NY 11231","145 Huntington St Unit 147-1Brooklyn, NY 11231",New York,Kings County,Brooklyn,Carroll Gardens,145,"145 Huntington St 147 1, Brooklyn, NY 11231, USA",40.6763366,-74.0001966,,,
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,1295000,3,4.0,2193.0,269 W 87th St Apt 7B,"New York, NY 10024","269 W 87th St Apt 7BNew York, NY 10024",New York,New York County,New York,Manhattan,269,"269 W 87th St #7b, New York, NY 10024, USA",40.7895034,-73.9769713,,,
Brokered by Mjr Real Estate Llc,Co-op for sale,245000,1,1.0,2184.207862,97-40 62 Dr Unit Lg,"Rego Park, NY 11374","97-40 62 Dr Unit LgRego Park, NY 11374",United States,New York,Queens County,Queens,62nd Drive,"97-40 62nd Dr, Rego Park, NY 11374, USA",40.7325379,-73.8601516,,,
Brokered by Myc & Associates Inc,Co-op for sale,1900000,3,2.0,2200.0,160 Chambers St Apt 4,"New York, NY 10007","160 Chambers St Apt 4New York, NY 10007",New York,New York County,New York,Manhattan,160,"160 Chambers St Apt 4, New York, NY 10007, USA",40.7159669,-74.010573,,,
Brokered by EXIT REALTY PROFESSIONALS,House for sale,729000,3,2.0,1854.0,3126 Mermaid Ave,"Brooklyn, NY 11224","3126 Mermaid AveBrooklyn, NY 11224",United States,New York,Kings County,Brooklyn,Mermaid Avenue,"3126 Mermaid Ave, Brooklyn, NY 11224, USA",40.5749619,-73.9982799,,,
Brokered by Jamie & Connie Real Estate Grp,Pending,1058000,3,2.0,2184.207862,105-26 65th Rd,"Forest Hills, NY 11375","105-26 65th RdForest Hills, NY 11375",United States,New York,Queens County,Queens,65th Road,"105-26 65th Rd, Flushing, NY 11375, USA",40.7303746,-73.8497286,,,
Brokered by Doreen Greenwood Inc.,House for sale,588000,3,1.0,1080.0,2956 Gerritsen Ave,"Brooklyn, NY 11229","2956 Gerritsen AveBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,Gerritsen Avenue,"2956 Gerritsen Ave, Brooklyn, NY 11229, USA",40.5887247,-73.9208494,,,
Brokered by Charles Rutenberg Realty Inc,Co-op for sale,569000,3,2.0,2184.207862,6011 Broadway Apt L1,"Woodside, NY 11377","6011 Broadway Apt L1Woodside, NY 11377",New York,Queens County,Queens,Woodside,6011,"6011 Broadway Apt 1d, Woodside, NY 11377, USA",40.7511899,-73.90201,,,
Brokered by Truhomes Realty Group,Land for sale,150000,3,2.3738608579684373,2184.207862,48 Cedarcliff Rd,"Staten Island, NY 10301","48 Cedarcliff RdStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Cedarcliff Road,"48 Cedarcliff Rd, Staten Island, NY 10301, USA",40.6170275,-74.0893192,,,
Brokered by JL Capital Real Estate Corp,Land for sale,1245000,3,2.3738608579684373,2184.207862,5437 Fieldston Rd,"Bronx, NY 10471","5437 Fieldston RdBronx, NY 10471",United States,New York,Bronx County,The Bronx,Fieldston Road,"5437 Fieldston Rd, Bronx, NY 10471, USA",40.902657,-73.901871,,,
Brokered by Eva Real Estate LLC,House for sale,550000,3,2.0,1410.0,690 N Railroad Ave,"Staten Island, NY 10304","690 N Railroad AveStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,North Railroad Avenue,"690 N Railroad Ave, Staten Island, NY 10304, USA",40.5882303,-74.0975793,,,
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,899000,3,1.0,1100.0,529 W 42nd St Apt 2G,"New York, NY 10036","529 W 42nd St Apt 2GNew York, NY 10036",New York,New York County,New York,Manhattan,529,"529 W 42nd St #2g, New York, NY 10036, USA",40.7604194,-73.9968086,,,
Brokered by BESMATCH REAL ESTATE,Multi-family home for sale,715000,4,2.0,2052.0,3935 Monticello Ave,"Bronx, NY 10466","3935 Monticello AveBronx, NY 10466",United States,New York,Bronx County,The Bronx,Monticello Avenue,"3935 Monticello Ave, Bronx, NY 10466, USA",40.8898133,-73.8379299,,,
Brokered by COMPASS,Condo for sale,18500000,4,4.0,4856.0,73 Wooster St # A,"Manhattan, NY 10012","73 Wooster St # AManhattan, NY 10012",United States,New York,New York County,New York,Wooster Street,"73 Wooster St, New York, NY 10012, USA",40.7238868,-74.0021541,,,
Brokered by Corcoran Park Avenue South,Condo for sale,729000,1,1.0,550.0,200 E 58th St Apt 14C,"New York, NY 10022","200 E 58th St Apt 14CNew York, NY 10022",New York,New York County,New York,Manhattan,200,"200 E 58th St #14c, New York, NY 10022, USA",40.7606485,-73.9668928,,,
"Brokered by OneKey MLS LLC - Foxworth Realty, Inc.",Co-op for sale,295500,1,1.0,2184.207862,3015 Riverdale Ave Apt 2A,"New York, NY 10463","3015 Riverdale Ave Apt 2ANew York, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,3015,"3015 Riverdale Ave #2a, Bronx, NY 10463, USA",40.8809305,-73.9107494,,,
Brokered by BHHS New York Properties,Co-op for sale,695000,2,2.0,1800.0,303 E 57th St Apt 29E,"New York, NY 10022","303 E 57th St Apt 29ENew York, NY 10022",New York,New York County,New York,Manhattan,303,"303 E 57th St #29e, New York, NY 10022, USA",40.7595774,-73.964779,,,
"Brokered by Compass Greater New York, LLC",Co-op for sale,329000,1,1.0,750.0,302 96th St Apt 4L,"Brooklyn, NY 11209","302 96th St Apt 4LBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,302,"302 96th St #4l, Brooklyn, NY 11209, USA",40.61593,-74.0335829,,,
Brokered by Sold By Bart R E Partners Inc,Co-op for sale,279000,2,1.0,2184.207862,84-70 129th St Unit 1V,"Kew Gardens, NY 11415","84-70 129th St Unit 1VKew Gardens, NY 11415",New York,Queens County,Queens,Kew Gardens,8470,"8470 129th St Apt 1h, Kew Gardens, NY 11415, USA",40.7069299,-73.82404,,,
Brokered by Keller Williams NYC,Condo for sale,700000,1,2.0,900.0,138 Edgecombe Avenue Gdn Unit 1A,"New York, NY 10030","138 Edgecombe Avenue Gdn Unit 1ANew York, NY 10030",New York,New York County,New York,Manhattan,138,"138 Edgecombe Ave #1a, New York, NY 10030, USA",40.8211582,-73.9445475,,,
Brokered by Tapestry Real Estate of Queens,House for sale,1225000,4,2.0,1960.0,36-19 217 St,"Bayside, NY 11361","36-19 217 StBayside, NY 11361",United States,New York,Queens County,Queens,217th Street,"36-19 217th St, Flushing, NY 11361, USA",40.7684802,-73.7666662,,,
Brokered by Prime Properties Long Island,Co-op for sale,299000,1,1.0,2184.207862,118-18 Union Tpke Unit 17G,"Kew Gardens, NY 11415","118-18 Union Tpke Unit 17GKew Gardens, NY 11415",New York,Queens County,Queens,Kew Gardens,118-18,"118-18 Union Tpke #17g, Kew Gardens, NY 11415, USA",40.7123992,-73.8339305,,,
Brokered by Weichert Realtors Evolution Group,House for sale,995000,4,2.0,2200.0,43 Sunnyside Ter,"Staten Island, NY 10301","43 Sunnyside TerStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Sunnyside Terrace,"43 Sunnyside Terrace, Staten Island, NY 10301, USA",40.6146934,-74.0996097,,,
Brokered by COMPASS,Co-op for sale,549000,3,1.0,2184.207862,60 E 9th St Apt 214,"Manhattan, NY 10003","60 E 9th St Apt 214Manhattan, NY 10003",New York,New York County,New York,Manhattan,60,"60 E 9th St Apt 214, New York, NY 10003, USA",40.7310966,-73.9926682,,,
Brokered by RAIMONDO RONALD,House for sale,1099000,5,4.0,3500.0,310 Jefferson Blvd,"Staten Island, NY 10312","310 Jefferson BlvdStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Jefferson Boulevard,"310 Jefferson Blvd, Staten Island, NY 10312, USA",40.5457789,-74.1847061,,,
Brokered by COMPASS,Pending,749000,1,1.0,2184.207862,88 Charles St Apt 3D,"Manhattan, NY 10014","88 Charles St Apt 3DManhattan, NY 10014",New York,New York County,New York,Manhattan,88,"88 Charles St #3d, New York, NY 10014, USA",40.7345653,-74.0041732,,,
Brokered by RE MAX Edge,Co-op for sale,285000,1,1.0,900.0,2815 Ocean Pkwy Apt 3F,"Brooklyn, NY 11235","2815 Ocean Pkwy Apt 3FBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,2815,"2815 Ocean Pkwy #3f, Brooklyn, NY 11235, USA",40.5811062,-73.966749,,,
Brokered by LJ Realty Team Inc,Multi-family home for sale,949000,6,3.0,2184.207862,117-37 141st St,"Jamaica, NY 11436","117-37 141st StJamaica, NY 11436",United States,New York,Queens County,Queens,141st Street,"11737 141st St, Jamaica, NY 11436, USA",40.677393,-73.800094,,,
Brokered by EXP Realty,Co-op for sale,365000,2,1.0,2184.207862,83-40 Austin St Unit 3E,"Kew Gardens, NY 11415","83-40 Austin St Unit 3EKew Gardens, NY 11415",New York,Queens County,Queens,Jamaica,83-40,"83-40 Austin St #3e, Jamaica, NY 11415, USA",40.7083799,-73.8290102,,,
Brokered by Charles H. Greenthal Property,Co-op for sale,449000,2,2.0,1549.0,26910 Grand Central Pkwy Apt 22L,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,26910,"26910 Grand Central Pkwy #22l, Queens, NY 11005, USA",40.7577991,-73.7159564,,,Brownsville
Brokered by Corcoran East Side,Co-op for sale,3370000,2,2.0,2184.207862,20 E 9th St # 14J,"New York, NY 10003","20 E 9th St # 14JNew York, NY 10003",New York,New York County,New York,Manhattan,20,"20 E 9th St #14j, New York, NY 10003, USA",40.7321377,-73.9947952,,,
