STATE_NAME,STATE_ABBREVIATION,COUNTY_NAME,COUNTY_FIPS_CODE,STUDYYEAR,EMR_16,FEMR_16,MEMR_16,EMR_20to64,FEMR_20to64,MEMR_20to64,UNR_16,FUNR_16,MUNR_16,UNR_20to64,FUNR_20to64,MUNR_20to64,FLFPR_20to64,FLFPR_20to64_UNDER6,FLFPR_20to64_6to17,FLFPR_20to64_UNDER6_6to17,MLFPR_20to64,PR_F,PR_P,MHI,MFI,MFI_2022,ME,FME,MME,MHI_2022,ME_2022,FME_2022,MME_2022,TOTALPOP,ONERACE,ONERACE_W,ONERACE_B,ONERACE_I,ONERACE_A,ONERACE_H,ONERACE_OTHER,TWORACES,HISPANIC,HOUSEHOLDS,H_UNDER6_BOTHWORK,H_UNDER6_FWORK,H_UNDER6_MWORK,H_UNDER6_SINGLEM,H_6to17_BOTHWORK,H_6to17_FWORK,H_6to17_MWORK,H_6to17_SINGLEM,EMP_M,MEMP_M,FEMP_M,EMP_SERVICE,MEMP_SERVICE,FEMP_SERVICE,EMP_SALES,MEMP_SALES,FEMP_SALES,EMP_N,MEMP_N,FEMP_N,EMP_P,MEMP_P,FEMP_P,MCBto5,MC6to11,MC12to17,MC18to23,MC24to29,MC30to35,MC36to41,MC42to47,MC48to53,MC54toSA,MCSA,Annual Center-Based Care Cost (School Age),MFCCBto5,MFCC6to11,MFCC12to17,MFCC18to23,MFCC24to29,MFCC30to35,MFCC36to41,MFCC42to47,MFCC48to53,MFCC54toSA,MFCCSA,Annual Median Home-Based Care Cost (School Age),_75CBto5,_75C6to11,_75C12to17,_75C18to23,_75C24to29,_75C30to35,_75C36to41,_75C42to47,_75C48to53,_75C54toSA,_75CSA,_75FCCBto5,_75FCC6to11,_75FCC12to17,_75FCC18to23,_75FCC24to29,_75FCC30to35,_75FCC36to41,_75FCC42to47,_75FCC48to53,_75FCC54toSA,_75FCCSA,MCINFANT,Annual Center-Based Care Cost (Infant),MCTODDLER,Annual Center-Based Care Cost (Toddler),MCPRESCHOOL,Annual Center-Based Care Cost (Preschool),_75CINFANT,_75CTODDLER,_75CPRESCHOOL,MFCCINFANT,Annual Median Home-Based Care Cost (Infant),MFCCTODDLER,Annual Median Home-Based Care Cost (Toddler),MFCCPRESCHOOL,Annual Median Home-Based Care Cost (Preschool),_75FCCINFANT,_75FCCTODDLER,_75FCCPRESCHOOL
North Dakota,ND,Ward County,38101,2010,62.7,60.8,64.7,74.0,74.6,73.5,3.0,3.1,3.0,2.7,2.7,2.7,79.7,70.8,86.9,66.1,90.6,6.7,9.4,48793,60361,82091,25206,19947,31446,66358,34280,27128,42767,59461,97.3,90.9,2.3,2.3,0.9,0.1,0.9,2.7,3.0,24260,2571,1330,142,966.0,4740,1373,128,1386.0,29.4,26.2,32.8,19.9,15.1,25.0,27.7,18.8,37.3,12.9,23.9,1.0,10.2,16.0,4.0,144.29,144.29,141.64,141.64,135.65,135.65,131.52,131.52,122.86,122.86,77.27,4018.04,111.43,111.43,110.25,110.25,103.64,103.64,103.64,103.64,101.65,101.65,96.94,5040.88,150.67,150.67,147.16,147.16,143.42,143.42,136.76,136.76,125.78,125.78,96.81,113.24,113.24,113.24,113.24,106.65,106.65,107.82,107.82,105.85,105.85,101.18,144.29,7503.08,135.65,7053.8,131.52,6839.040000000001,150.67,143.42,136.76,111.43,5794.360000000001,103.64,5389.28,103.64,5389.28,113.24,106.65,107.82
North Carolina,NC,Jackson County,37099,2022,52.7,50.0,55.6,69.5,67.3,71.7,5.9,5.6,6.2,4.3,3.3,5.3,69.6,62.3,79.3,77.4,76.1,11.1,19.3,51482,71282,71282,28742,23737,33576,51482,28742,23737,33576,42388,94.1,80.9,2.1,7.4,1.1,0.0,2.5,5.9,6.5,17737,662,276,48,321.0,1654,830,34,1686.0,34.1,29.0,39.4,28.0,29.4,26.6,20.0,12.0,28.3,9.2,15.6,2.6,8.7,14.0,3.2,180.84,180.84,167.54,167.54,175.85,175.85,83.92,83.92,86.85,86.85,48.43,2518.36,166.15,166.15,160.61,160.61,146.04,146.04,129.59,129.59,135.15,135.15,116.66,6066.32,231.8,231.8,193.29,193.29,175.9,175.9,122.1,122.1,121.93,121.93,65.06,149.54,149.54,147.69,147.69,144.63,144.63,155.26,155.26,155.26,155.26,118.27,180.84,9403.68,175.85,9144.199999999999,84.21,4378.92,231.8,175.9,122.1,166.15,8639.800000000001,146.04,7594.08,130.39,6780.279999999999,149.54,144.63,155.26
Iowa,IA,Wayne County,19185,2020,56.6,49.0,64.6,74.9,66.4,83.5,1.4,0.9,1.7,1.3,1.1,1.5,67.1,64.0,75.1,65.9,84.8,10.4,16.0,47543,62171,71497,33545,25038,40397,54674,38577,28794,46457,6426,97.2,95.9,0.2,0.5,0.1,0.0,0.5,2.8,1.6,2620,165,218,19,118.0,432,247,50,242.0,29.1,22.3,37.5,15.5,7.8,25.2,14.3,5.6,25.1,18.4,29.0,5.3,22.7,35.4,6.9,143.4,143.4,143.4,143.4,130.73,130.73,123.14,123.14,123.14,123.14,98.63,5128.76,93.3,93.3,93.3,93.3,92.31,92.31,91.72,91.72,91.72,91.72,86.79,4513.08,166.42,166.42,166.42,166.42,151.72,151.72,142.91,142.91,142.91,142.91,114.46,108.28,108.28,108.28,108.28,107.13,107.13,106.45,106.45,106.45,106.45,100.73,143.4,7456.8,130.73,6797.959999999999,123.14,6403.28,166.42,151.72,142.91,93.3,4851.599999999999,92.31,4800.12,91.72,4769.44,108.28,107.13,106.45
Oregon,OR,Morrow County,41049,2009,56.7,50.1,63.2,68.7,59.1,78.4,7.6,6.3,8.6,6.9,6.8,6.9,63.4,63.5,82.2,52.8,84.2,15.4,16.8,43581,48869,66951,24365,18345,29514,59706,33380,25133,40434,11394,96.0,88.7,0.1,2.4,0.4,0.0,4.5,4.0,30.2,3841,323,305,4,192.0,912,416,66,676.0,21.1,18.5,24.5,17.9,14.3,22.5,18.2,7.0,32.7,22.8,36.6,5.1,20.0,23.6,15.2,113.66,113.66,107.31,107.31,107.31,91.85,91.85,91.85,91.85,91.85,54.23,2819.96,97.5,97.5,92.31,92.31,91.73,91.73,91.73,91.73,91.73,91.73,59.31,3084.12,125.19,125.19,127.5,127.5,127.5,104.89,104.89,104.89,104.89,104.89,81.93,103.85,103.85,103.85,103.85,98.08,98.08,98.08,98.08,98.08,98.08,80.77,113.66,5910.32,107.31,5580.12,91.85,4776.2,127.5,127.5,104.89,97.5,5070.0,91.73,4769.96,91.73,4769.96,103.85,98.08,98.08
Michigan,MI,Grand Traverse County,26055,2013,59.6,57.3,62.1,72.6,71.8,73.4,9.0,7.8,10.1,8.4,7.3,9.4,77.5,76.4,81.9,74.3,81.6,7.7,11.7,51766,63616,80792,25666,21977,30716,65743,32596,27911,39009,88182,98.2,94.7,1.3,1.1,0.7,0.0,0.4,1.8,2.3,34655,2793,1236,49,1509.0,6235,2004,256,2951.0,32.6,31.1,34.0,21.0,16.7,25.4,26.5,18.6,34.7,9.0,16.8,1.1,10.9,16.8,4.7,183.94,183.94,183.94,183.94,183.94,170.96,170.96,170.96,170.96,170.96,162.3,8439.6,129.84,129.84,129.84,129.84,129.84,129.84,129.84,129.84,129.84,129.84,129.84,6751.68,214.95,214.95,214.95,214.95,214.95,214.95,214.95,214.95,214.95,214.95,196.9,171.96,171.96,171.96,171.96,171.96,150.47,150.47,150.47,150.47,150.47,150.47,183.94,9564.88,183.94,9564.88,170.96,8889.92,214.95,214.95,214.95,129.84,6751.68,129.84,6751.68,129.84,6751.68,171.96,171.96,150.47
Louisiana,LA,Avoyelles Parish,22009,2010,46.8,44.0,49.6,57.3,55.0,59.4,9.4,9.7,9.1,8.7,9.2,8.3,60.6,66.3,76.3,74.2,65.3,18.3,23.2,31412,38738,52684,22280,16719,29839,42720,30301,22738,40581,42013,98.5,67.4,29.6,0.9,0.5,0.0,0.1,1.5,1.6,15767,842,455,7,1734.0,2252,930,219,2712.0,25.1,20.6,30.2,27.3,19.9,35.6,19.0,8.4,30.8,16.2,29.7,1.0,12.4,21.3,2.4,98.0,98.0,95.0,95.0,95.0,95.0,92.5,92.5,92.5,92.5,90.0,4680.0,82.5,82.5,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,4160.0,110.0,110.0,105.0,105.0,105.0,105.0,97.5,97.5,95.63,95.63,95.0,96.25,96.25,93.75,93.75,93.75,93.75,91.25,91.25,92.5,92.5,95.0,98.0,5096.0,95.0,4940.0,92.5,4810.0,110.0,105.0,97.5,82.5,4290.0,80.0,4160.0,80.0,4160.0,96.25,93.75,92.5
South Carolina,SC,Marlboro County,45069,2011,39.2,42.5,36.4,47.7,54.3,42.2,15.2,14.6,15.8,13.8,14.2,13.3,63.4,75.7,80.0,76.2,48.9,23.5,28.9,28511,32340,42365,20705,19172,22112,37349,27124,25115,28967,28977,97.2,41.3,51.3,3.3,0.4,0.2,0.6,2.8,1.8,9830,317,249,0,943.0,895,440,153,1813.0,19.1,14.9,23.1,18.2,11.9,24.4,20.0,12.2,27.6,10.1,18.5,1.9,32.6,42.5,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,Vernon County,29217,2013,55.9,53.4,58.6,70.3,68.2,72.5,6.3,4.9,7.7,5.7,4.0,7.4,71.1,71.4,83.0,64.0,78.4,14.0,21.0,38679,48014,60978,21352,17929,25340,49122,27117,22770,32182,20990,98.4,96.5,0.7,0.4,0.6,0.0,0.1,1.6,1.7,7999,539,225,31,426.0,1433,456,127,984.0,28.2,22.5,33.7,22.2,14.8,29.4,22.1,14.9,29.1,12.1,22.3,2.1,15.5,25.5,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,Coke County,48081,2009,46.4,43.3,49.7,67.8,64.6,71.1,9.2,3.7,13.6,9.7,4.2,14.5,67.5,38.2,96.8,99.9,84.0,11.3,18.9,33375,45296,62056,20718,18333,23108,45724,28384,25116,31658,3491,99.2,94.3,0.8,1.1,0.4,0.0,2.6,0.8,19.5,1456,35,28,0,63.0,263,91,0,70.0,26.7,20.9,33.4,21.8,15.4,29.1,22.2,12.8,32.9,16.4,30.3,0.8,12.8,20.6,3.9,104.93,104.93,104.93,97.63,97.63,97.63,92.43,92.43,92.43,92.43,89.0,4628.0,96.03,96.03,96.03,88.18,88.18,88.18,82.45,82.45,82.45,82.45,77.4,4024.8,120.28,120.28,120.28,112.38,112.38,112.38,106.9,106.9,106.9,106.9,103.23,110.73,110.73,110.73,102.25,102.25,102.25,96.08,96.08,96.08,96.08,90.63,104.93,5456.360000000001,97.63,5076.76,92.43,4806.360000000001,120.28,112.38,106.9,96.03,4993.56,88.18,4585.360000000001,82.45,4287.400000000001,110.73,102.25,96.08
Alabama,AL,Mobile County,1097,2019,53.3,49.7,57.3,66.4,62.9,70.2,5.8,5.4,6.2,5.5,5.0,6.0,66.2,67.6,74.0,64.3,75.3,14.1,18.8,47583,60779,70504,31073,25469,39168,55196,36045,29544,45435,414114,98.2,58.6,35.8,0.8,1.9,0.0,1.1,1.8,2.9,156251,8439,6039,483,12478.0,19998,9929,2157,23208.0,32.9,26.6,39.4,17.6,13.5,21.8,22.4,14.4,30.6,10.6,19.9,1.1,16.4,25.6,7.0,123.4,123.4,123.4,123.4,120.9,116.73,114.23,114.23,114.23,114.23,107.14,5571.28,116.05,116.05,116.05,116.05,116.05,116.05,116.05,116.05,116.05,116.05,103.55,5384.599999999999,145.0,145.0,142.5,142.5,141.0,136.0,132.5,132.5,132.5,132.5,127.5,130.0,130.0,130.0,130.0,129.5,129.5,127.5,127.5,127.5,127.5,125.0,123.4,6416.8,120.9,6286.8,114.23,5939.96,145.0,141.0,132.5,116.05,6034.599999999999,116.05,6034.599999999999,116.05,6034.599999999999,130.0,129.5,127.5
Montana,MT,Glacier County,30035,2012,55.6,54.9,56.3,63.6,23.8,62.9,16.0,13.3,18.5,15.4,13.7,17.2,74.3,62.7,83.0,53.5,76.1,24.3,29.1,36872,41048,52952,21715,21233,23039,47565,28012,27391,29720,13422,97.5,31.6,0.0,64.8,0.4,0.1,0.6,2.5,2.0,4245,467,95,34,540.0,1190,95,78,715.0,33.7,29.4,37.9,27.6,24.9,30.3,18.6,8.5,28.4,13.5,26.2,1.0,6.7,11.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,TN,Wilson County,47189,2017,62.3,57.9,67.0,75.4,71.0,80.1,4.5,4.0,5.0,4.3,3.8,4.8,73.8,79.0,80.2,65.5,84.5,6.9,9.2,66123,76913,93065,36813,31337,41372,80009,44544,37918,50060,128874,98.5,88.4,6.8,0.3,1.5,0.1,1.3,1.5,3.8,47213,4185,2028,363,1869.0,9887,3809,972,4060.0,37.7,34.6,41.0,15.1,12.8,17.6,27.1,19.3,35.6,8.5,15.7,0.6,11.6,17.6,5.2,165.0,165.0,155.5,155.5,137.5,137.5,137.5,137.5,137.5,137.5,55.0,2860.0,125.0,125.0,120.5,120.5,112.25,112.25,112.25,112.25,112.25,112.25,80.0,4160.0,202.0,202.0,190.0,190.0,171.25,171.25,171.25,171.25,171.25,171.25,75.0,145.0,145.0,135.0,135.0,126.25,126.25,126.25,126.25,126.25,126.25,107.5,165.0,8580.0,137.5,7150.0,137.5,7150.0,202.0,171.25,171.25,125.0,6500.0,112.25,5837.0,112.25,5837.0,145.0,126.25,126.25
Kentucky,KY,Wolfe County,21237,2020,25.9,24.2,27.6,33.9,32.6,35.3,25.4,34.4,14.9,20.8,30.8,8.1,47.1,48.3,42.9,72.5,39.4,33.9,36.1,22292,30750,35363,16863,16640,20913,25636,19392,19136,24050,7188,98.4,97.6,0.0,0.6,0.1,0.0,0.0,1.6,0.0,2991,102,149,49,70.0,184,93,0,296.0,17.4,17.1,17.7,31.3,21.7,41.8,18.4,11.3,26.2,15.1,27.9,1.0,17.8,22.0,13.2,112.02,112.02,107.71,107.71,107.71,107.71,107.71,107.71,107.71,107.71,107.71,5600.92,86.17,86.17,86.17,86.17,86.17,86.17,86.17,86.17,86.17,86.17,79.71,4144.92,130.0,130.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.5,112.02,5825.04,107.71,5600.92,107.71,5600.92,130.0,125.0,125.0,86.17,4480.84,86.17,4480.84,86.17,4480.84,100.0,100.0,100.0
South Dakota,SD,Stanley County,46117,2010,72.1,63.8,80.6,83.6,79.2,87.8,4.9,5.3,4.5,5.2,5.8,4.7,84.0,79.3,100.0,100.0,92.2,8.8,11.9,51875,54722,74422,24315,18750,30288,70550,33068,25500,41192,2896,98.8,89.0,0.1,8.9,0.0,0.0,0.8,1.2,0.6,1160,150,0,0,60.0,194,47,0,93.0,32.7,33.0,32.4,16.7,9.1,26.1,24.2,16.0,34.4,14.7,21.7,5.9,11.8,20.2,1.2,108.45,108.45,108.45,108.45,108.45,108.45,94.27,94.27,94.27,94.27,83.42,4337.84,70.26,70.26,70.26,70.26,70.26,70.26,68.54,68.54,68.54,68.54,68.92,3583.84,130.0,130.0,130.0,130.0,130.0,130.0,113.0,113.0,113.0,113.0,100.0,82.0,82.0,82.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,80.44,108.45,5639.400000000001,108.45,5639.400000000001,94.27,4902.04,130.0,130.0,113.0,70.26,3653.5200000000004,70.26,3653.5200000000004,68.54,3564.0800000000004,82.0,82.0,80.0
Texas,TX,San Saba County,48411,2022,48.5,40.8,55.1,64.8,60.6,68.0,3.8,5.1,2.9,3.3,4.1,2.8,63.3,87.6,71.5,69.0,69.9,9.2,14.3,54087,64395,64395,27093,22262,30385,54087,27093,22262,30385,5779,90.1,82.8,1.6,0.1,0.2,0.2,5.3,9.9,31.0,2014,84,44,0,131.0,313,195,24,115.0,29.4,25.1,36.3,23.4,23.2,23.8,17.4,10.5,28.3,12.5,19.2,2.0,17.2,22.1,9.6,133.0,133.0,132.0,128.0,126.0,126.0,123.0,123.0,121.0,121.0,118.0,6136.0,121.0,121.0,120.0,116.0,116.0,116.0,115.0,115.0,113.0,113.0,111.0,5772.0,147.0,147.0,146.0,142.0,139.0,139.0,136.0,136.0,134.0,134.0,131.0,134.0,134.0,133.0,129.0,129.0,129.0,128.0,128.0,126.0,126.0,124.0,133.0,6916.0,126.0,6552.0,123.0,6396.0,147.0,139.0,136.0,121.0,6292.0,116.0,6032.0,115.0,5980.0,134.0,129.0,128.0
Pennsylvania,PA,Somerset County,42111,2011,52.7,48.9,56.3,66.7,65.4,67.7,7.5,6.3,8.4,7.1,5.7,8.2,69.4,58.6,77.4,63.8,73.9,9.0,12.8,41102,51316,67224,24352,19347,30002,53844,31901,25345,39303,77946,99.3,96.5,2.2,0.1,0.3,0.0,0.2,0.7,1.0,30168,1730,1365,24,837.0,5102,2549,184,1671.0,27.1,22.0,33.3,17.1,11.3,24.0,22.1,12.9,33.2,13.1,22.8,1.3,20.7,31.0,8.1,120.63,120.63,115.0,115.0,111.88,111.88,106.25,106.25,106.25,106.25,103.13,5362.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5200.0,123.45,123.45,124.08,124.08,120.0,120.0,115.0,115.0,115.0,115.0,118.75,112.5,112.5,110.33,110.33,108.75,108.75,110.0,110.0,110.0,110.0,108.13,120.63,6272.76,111.88,5817.76,106.25,5525.0,124.08,120.0,115.0,100.0,5200.0,100.0,5200.0,100.0,5200.0,112.5,108.75,110.0
Colorado,CO,San Miguel County,8113,2015,70.6,66.9,73.9,78.2,73.9,82.1,5.8,5.0,6.5,5.8,5.2,6.3,77.9,76.6,76.1,72.7,87.6,7.3,11.2,56047,73032,90560,30892,24008,33803,69498,38306,29770,41916,7676,98.5,95.9,0.2,0.4,1.3,0.0,0.7,1.5,9.5,3310,335,74,11,34.0,500,191,23,155.0,37.2,35.6,39.1,18.9,13.7,25.4,23.3,18.6,29.2,10.9,18.7,1.0,9.8,13.4,5.3,319.35,333.55,319.95,299.35,306.55,302.9,322.2,322.2,322.2,322.2,281.8,14653.6,225.0,225.0,225.0,225.0,225.0,200.0,210.0,210.0,210.0,210.0,186.44,9694.88,343.4,344.5,345.15,343.65,332.35,327.3,329.35,329.35,329.35,329.35,320.75,225.0,225.0,225.0,225.0,235.3,200.0,221.35,221.35,221.35,221.35,196.52,333.55,17344.600000000002,306.55,15940.6,322.2,16754.399999999998,345.15,332.35,329.35,225.0,11700.0,225.0,11700.0,210.0,10920.0,225.0,235.3,221.35
Puerto Rico,PR,Vega Baja County,72145,2018,32.7,31.4,34.1,44.5,43.4,45.7,18.8,18.6,19.0,18.4,17.8,19.1,52.9,66.5,60.0,57.0,56.5,39.6,45.3,19096,24186,28539,18557,17899,19210,22533,21897,21121,22668,53371,98.9,85.5,5.1,0.1,0.0,0.0,8.1,1.1,97.1,18081,742,283,145,1090.0,2063,862,279,2995.0,29.2,20.1,38.0,20.6,20.3,20.9,24.3,17.9,30.5,11.0,21.2,1.2,14.9,20.5,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MI,Ottawa County,26139,2021,65.7,59.7,72.0,81.1,75.0,87.2,3.9,4.2,3.6,3.1,3.0,3.1,77.3,75.3,80.6,74.7,90.2,4.2,7.6,77288,92679,101020,35838,27063,47022,84244,39063,29499,51254,293713,95.2,87.6,1.7,0.4,2.7,0.0,2.9,4.8,10.2,107218,11843,4410,350,2816.0,27322,8863,736,7312.0,37.9,35.8,40.4,15.2,11.1,20.1,20.3,14.1,27.4,8.0,13.6,1.5,18.5,25.3,10.6,144.44,144.44,144.44,144.44,144.44,144.01,144.01,144.01,144.01,144.01,118.92,6183.84,176.65,176.65,178.58,178.58,178.58,167.82,167.82,167.82,167.82,167.82,134.22,6979.44,177.54,177.54,177.54,177.54,177.54,159.25,159.25,159.25,159.25,159.25,143.05,218.36,218.36,220.61,220.61,220.61,189.86,189.86,189.86,189.86,189.86,163.46,144.44,7510.88,144.44,7510.88,144.01,7488.5199999999995,177.54,177.54,159.25,178.58,9286.16,178.58,9286.16,167.82,8726.64,220.61,220.61,189.86
North Carolina,NC,Stokes County,37169,2013,53.2,49.4,57.4,67.4,63.0,71.8,10.8,10.6,11.0,10.0,10.3,9.7,70.3,70.2,76.2,83.0,79.5,13.0,15.8,42703,50910,64656,28725,23739,33193,54233,36481,30149,42155,47063,99.0,93.6,3.8,0.7,0.3,0.0,0.5,1.0,2.7,18969,1175,624,30,613.0,3360,991,241,1605.0,25.3,18.3,32.9,16.5,11.6,21.7,23.8,17.5,30.6,12.7,23.9,0.6,21.7,28.7,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,Comal County,48091,2020,57.6,51.3,64.1,73.0,65.8,80.4,4.0,3.3,4.6,3.8,3.0,4.4,68.2,75.0,72.0,62.1,84.8,5.1,7.7,80781,96743,111254,40410,34293,45530,92898,46472,39437,52360,148921,93.9,87.1,2.2,0.3,1.2,0.0,3.1,6.1,27.7,54586,3988,2641,448,1426.0,10584,6191,649,3796.0,43.3,38.1,49.7,13.3,12.0,14.8,23.7,17.5,31.3,9.2,16.3,0.6,10.4,16.2,3.6,171.7,171.7,171.7,159.55,159.55,159.55,148.6,148.6,148.6,148.6,140.9,7326.8,152.0,152.0,152.0,142.15,142.15,142.15,136.0,136.0,136.0,136.0,126.2,6562.400000000001,198.7,198.7,198.7,185.6,185.6,185.6,173.8,173.8,173.8,173.8,165.45,177.45,177.45,177.45,166.8,166.8,166.8,160.15,160.15,160.15,160.15,149.45,171.7,8928.4,159.55,8296.6,148.6,7727.2,198.7,185.6,173.8,152.0,7904.0,142.15,7391.8,136.0,7072.0,177.45,166.8,160.15
Mississippi,MS,Winston County,28159,2013,47.3,43.5,51.5,59.7,55.0,64.7,15.5,15.8,15.2,15.7,16.5,14.9,65.9,82.3,67.0,68.8,77.3,24.2,29.8,30821,40589,51548,21961,17911,31265,39143,27890,22747,39707,19052,99.8,52.0,46.9,0.2,0.5,0.0,0.2,0.2,1.0,7635,343,127,5,859.0,896,351,43,1127.0,29.5,21.0,38.6,21.9,16.8,27.4,19.2,12.7,26.0,12.8,24.8,0.1,16.6,24.7,8.0,89.52,89.52,75.69,75.69,75.69,75.69,75.69,75.69,75.69,75.69,68.85,3580.2,75.69,75.69,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,58.52,3043.04,103.89,103.89,87.84,87.84,87.84,87.84,87.84,87.84,87.84,87.84,79.9,87.84,87.84,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,67.91,89.52,4655.04,75.69,3935.88,75.69,3935.88,103.89,87.84,87.84,75.69,3935.88,51.68,2687.36,51.68,2687.36,87.84,59.97,59.97
Alaska,AK,Ketchikan Gateway Borough,2130,2008,66.4,61.7,71.6,72.6,69.7,75.6,3.8,3.4,4.1,3.5,2.9,3.9,71.9,55.2,92.1,82.1,83.8,5.7,9.0,56816,71765,96883,30966,24852,43073,76702,41804,33550,58149,13236,91.7,71.5,0.3,13.3,5.7,0.0,0.9,8.3,3.6,5899,291,412,6,259.0,867,428,43,526.0,29.3,26.9,31.9,18.3,12.7,24.4,24.6,11.6,38.8,13.0,23.5,1.4,14.9,25.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FL,Brevard County,12009,2016,49.9,46.8,53.1,67.1,63.7,70.5,9.3,7.9,10.5,8.6,7.5,9.7,69.0,69.0,75.6,66.3,78.8,10.1,14.0,49914,61141,75203,28757,24840,34029,61394,35371,30553,41856,560683,97.3,83.1,10.2,0.3,2.4,0.1,1.1,2.7,9.3,224373,10655,6544,923,9688.0,27121,12243,2623,19834.0,37.1,34.7,39.6,19.5,17.1,22.1,25.6,19.2,32.4,8.5,15.8,0.8,9.3,13.2,5.1,170.7,170.7,167.99,167.99,145.92,145.92,129.69,129.69,129.69,129.69,110.8,5761.599999999999,137.5,137.5,132.5,132.5,124.17,124.17,118.61,118.61,118.61,118.61,97.92,5091.84,186.28,186.28,182.94,182.94,162.83,162.83,147.09,147.09,147.09,147.09,129.95,158.33,158.33,158.33,158.33,139.07,139.07,131.25,131.25,131.25,131.25,112.5,170.7,8876.4,145.92,7587.839999999999,129.69,6743.88,186.28,162.83,147.09,137.5,7150.0,124.17,6456.84,118.61,6167.72,158.33,139.07,131.25
Missouri,MO,Wayne County,29223,2021,38.9,41.0,36.9,54.3,58.0,50.6,9.9,6.2,13.7,10.6,6.5,14.8,62.0,72.1,80.3,49.7,59.5,12.2,23.6,42257,50828,55403,26912,24792,31109,46060,29334,27023,33909,11298,96.0,94.6,0.5,0.0,0.5,0.0,0.3,4.0,1.9,4280,220,153,1,152.0,650,238,328,235.0,27.0,19.1,34.0,15.1,8.9,20.6,16.9,9.9,23.2,10.6,22.1,0.3,30.5,40.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,Goshen County,56015,2015,55.0,50.3,59.1,68.4,65.0,71.3,6.8,6.2,7.2,6.6,6.4,6.7,69.5,74.4,74.3,69.6,76.7,13.6,17.9,42689,56948,70616,26473,20924,34056,52934,32827,25946,42229,13544,97.2,91.9,0.4,0.4,0.2,0.0,4.3,2.8,10.4,5384,329,209,9,239.0,923,236,0,309.0,33.6,30.9,37.2,20.3,15.8,26.3,18.2,11.0,27.9,13.5,21.4,2.9,14.4,20.9,5.7,137.98,137.98,121.0,121.0,116.76,116.76,116.76,116.76,116.76,116.76,93.16,4844.32,109.01,109.01,109.01,109.01,109.01,109.01,109.01,109.01,109.01,109.01,109.01,5668.52,165.4,165.4,145.05,145.05,139.96,139.96,139.96,139.96,139.96,139.96,111.67,127.23,127.23,127.23,127.23,127.23,127.23,127.23,127.23,127.23,127.23,127.23,137.98,7174.959999999999,116.76,6071.52,116.76,6071.52,165.4,139.96,139.96,109.01,5668.52,109.01,5668.52,109.01,5668.52,127.23,127.23,127.23
Texas,TX,Tarrant County,48439,2010,65.1,58.1,72.7,74.9,67.6,82.5,7.4,7.6,7.3,6.6,7.0,6.4,72.7,64.3,78.5,60.7,88.5,10.4,13.4,55306,65351,88877,23041,18611,29018,75216,31336,25311,39464,1743300,97.8,68.4,14.5,0.5,4.6,0.2,9.7,2.2,25.7,632518,60133,46193,2634,42317.0,129686,68195,5064,80092.0,34.8,32.1,38.0,14.5,12.0,17.4,27.7,20.0,36.7,9.7,17.2,0.9,13.3,18.6,7.1,152.05,152.05,152.05,139.85,139.85,139.85,130.65,130.65,130.65,130.65,123.5,6422.0,135.4,135.4,135.4,124.35,124.35,124.35,116.4,116.4,116.4,116.4,105.35,5478.2,177.35,177.35,177.35,164.15,164.15,164.15,154.15,154.15,154.15,154.15,146.35,159.35,159.35,159.35,147.35,147.35,147.35,138.65,138.65,138.65,138.65,126.55,152.05,7906.6,139.85,7272.2,130.65,6793.8,177.35,164.15,154.15,135.4,7040.8,124.35,6466.2,116.4,6052.8,159.35,147.35,138.65
